active_cases,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,deaths,last_updated_cases,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,subnotification_rate,trust_classification,data_last_refreshed
,6.0,,BR,Brasil,1.0,estabilizando,6,0.050640746106992644,0.0,2020-03-26,,,0.0,estabilizando,0.0,,,1777225,,,,,0.0,RO,Rondônia,,,2021-01-20 09:14:51
23.0,23.0,,BR,Brasil,0.0,estabilizando,9,0.3061450106867286,0.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0,1.0,,881935,,,,,0.0,AC,Acre,0.0,0.0,2021-01-20 09:14:51
3166.0,67.0,,BR,Brasil,13.0,crescendo,3,0.21956296354024285,1.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.002412779819123548,0.021164021164021166,,4144597,,,,,1.0,AM,Amazonas,0.9788359788359788,3.0,2021-01-20 09:14:51
,10.0,,BR,Brasil,2.0,estabilizando,5,,0.0,2020-03-26,,,0.0,estabilizando,,,,605761,,,,,,RR,Roraima,,,2021-01-20 09:14:51
57.0,13.0,,BR,Brasil,6.0,estabilizando,8,0.01976085873717651,0.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0,0.22933333333333333,,8602865,,,,,0.0,PA,Pará,0.7706666666666666,3.0,2021-01-20 09:14:51
2.0,2.0,,BR,Brasil,0.0,estabilizando,6,0.0354722719162476,0.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0,1.0,,845731,,,,,0.0,AP,Amapá,0.0,0.0,2021-01-20 09:14:51
,8.0,,BR,Brasil,1.0,estabilizando,8,0.06357820691654598,0.0,2020-03-26,,,0.0,estabilizando,0.0,,,1572866,,,,,0.0,TO,Tocantins,,,2021-01-20 09:14:51
16.0,10.0,,BR,Brasil,2.0,estabilizando,6,0.019787479641863576,0.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0,0.6087962962962963,,7075181,,,,,0.0,MA,Maranhão,0.3912037037037037,0.0,2021-01-20 09:14:51
9.0,9.0,,BR,Brasil,1.0,estabilizando,7,0.02749580154385871,0.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0,1.0,,3273227,,,,,0.0,PI,Piauí,0.0,0.0,2021-01-20 09:14:51
1799.0,237.0,,BR,Brasil,26.0,estabilizando,10,0.3328924698190269,3.0,2020-03-26,,2020-03-26,3.0,estabilizando,0.004380164076566145,0.13176753989762122,,9132078,,,,,0.0,CE,Ceará,0.8682324601023788,3.0,2021-01-20 09:14:51
